Timestamp, Namespace, Total CPU(mCPU), Total Memory(MiB)
2025-03-14 13:49:57,nginx,1,55
2025-03-14 13:49:57,istio-system,1,84
2025-03-14 13:49:57,istio-tenant-gateway,1,48
2025-03-14 13:50:02,nginx,1,55
2025-03-14 13:50:02,istio-system,1,84
2025-03-14 13:50:02,istio-tenant-gateway,1,48
2025-03-14 13:50:07,nginx,1,55
2025-03-14 13:50:07,istio-system,1,84
2025-03-14 13:50:07,istio-tenant-gateway,1,48
2025-03-14 13:50:12,nginx,193,527
2025-03-14 13:50:12,istio-system,32,90
2025-03-14 13:50:12,istio-tenant-gateway,6,52
2025-03-14 13:50:17,nginx,193,527
2025-03-14 13:50:17,istio-system,32,90
2025-03-14 13:50:17,istio-tenant-gateway,6,52
2025-03-14 13:50:23,nginx,60,527
2025-03-14 13:50:23,istio-system,1,90
2025-03-14 13:50:23,istio-tenant-gateway,6,52
2025-03-14 13:50:28,nginx,60,527
2025-03-14 13:50:28,istio-system,1,90
2025-03-14 13:50:28,istio-tenant-gateway,6,52
2025-03-14 13:50:33,nginx,60,527
2025-03-14 13:50:33,istio-system,1,90
2025-03-14 13:50:33,istio-tenant-gateway,6,52
2025-03-14 13:50:38,nginx,25,529
2025-03-14 13:50:38,istio-system,3,90
2025-03-14 13:50:38,istio-tenant-gateway,8,52
2025-03-14 13:50:43,nginx,25,529
2025-03-14 13:50:43,istio-system,3,90
2025-03-14 13:50:43,istio-tenant-gateway,8,52
2025-03-14 13:50:49,nginx,25,529
2025-03-14 13:50:49,istio-system,3,90
2025-03-14 13:50:49,istio-tenant-gateway,8,52
2025-03-14 13:50:54,nginx,23,529
2025-03-14 13:50:54,istio-system,1,90
2025-03-14 13:50:54,istio-tenant-gateway,9,48
2025-03-14 13:50:59,nginx,23,529
2025-03-14 13:50:59,istio-system,1,90
2025-03-14 13:50:59,istio-tenant-gateway,9,48
2025-03-14 13:51:04,nginx,23,529
2025-03-14 13:51:04,istio-system,1,90
2025-03-14 13:51:04,istio-tenant-gateway,9,48
2025-03-14 13:51:10,nginx,22,530
2025-03-14 13:51:10,istio-system,2,90
2025-03-14 13:51:10,istio-tenant-gateway,8,51
2025-03-14 13:51:15,nginx,22,530
2025-03-14 13:51:15,istio-system,2,90
2025-03-14 13:51:15,istio-tenant-gateway,8,51
2025-03-14 13:51:20,nginx,22,530
2025-03-14 13:51:20,istio-system,2,90
2025-03-14 13:51:20,istio-tenant-gateway,8,51
2025-03-14 13:51:25,nginx,21,532
2025-03-14 13:51:25,istio-system,1,90
2025-03-14 13:51:25,istio-tenant-gateway,8,53
2025-03-14 13:51:30,nginx,21,532
2025-03-14 13:51:30,istio-system,1,90
2025-03-14 13:51:30,istio-tenant-gateway,8,53
2025-03-14 13:51:36,nginx,21,532
2025-03-14 13:51:36,istio-system,1,90
2025-03-14 13:51:36,istio-tenant-gateway,8,53
2025-03-14 13:51:41,nginx,21,532
2025-03-14 13:51:41,istio-system,1,90
2025-03-14 13:51:41,istio-tenant-gateway,8,52
2025-03-14 13:51:46,nginx,21,532
2025-03-14 13:51:46,istio-system,1,90
2025-03-14 13:51:46,istio-tenant-gateway,8,52
2025-03-14 13:51:51,nginx,21,532
2025-03-14 13:51:51,istio-system,1,90
2025-03-14 13:51:51,istio-tenant-gateway,8,52
2025-03-14 13:51:57,nginx,26,533
2025-03-14 13:51:57,istio-system,1,90
2025-03-14 13:51:57,istio-tenant-gateway,8,52
2025-03-14 13:52:02,nginx,26,533
2025-03-14 13:52:02,istio-system,1,90
2025-03-14 13:52:02,istio-tenant-gateway,8,52
2025-03-14 13:52:07,nginx,26,533
2025-03-14 13:52:07,istio-system,1,90
