Timestamp, Namespace, Total CPU(mCPU), Total Memory(MiB)
2025-03-14 14:01:11,nginx,13,522
2025-03-14 14:01:11,istio-system,1,84
2025-03-14 14:01:11,istio-tenant-gateway,11,52
2025-03-14 14:01:16,nginx,13,522
2025-03-14 14:01:16,istio-system,1,84
2025-03-14 14:01:16,istio-tenant-gateway,11,52
2025-03-14 14:01:37,nginx,93,2507
2025-03-14 14:01:37,istio-system,10,177
2025-03-14 14:01:37,istio-tenant-gateway,15,59
2025-03-14 14:01:43,nginx,93,2507
2025-03-14 14:01:43,istio-system,10,177
2025-03-14 14:01:43,istio-tenant-gateway,15,59
2025-03-14 14:01:48,nginx,93,2507
2025-03-14 14:01:48,istio-system,10,177
2025-03-14 14:01:48,istio-tenant-gateway,15,59
2025-03-14 14:01:53,nginx,91,2725
2025-03-14 14:01:53,istio-system,2,177
2025-03-14 14:01:53,istio-tenant-gateway,9,59
2025-03-14 14:01:58,nginx,91,2725
2025-03-14 14:01:58,istio-system,2,177
2025-03-14 14:01:58,istio-tenant-gateway,9,59
2025-03-14 14:02:03,nginx,91,2725
2025-03-14 14:02:03,istio-system,2,177
2025-03-14 14:02:03,istio-tenant-gateway,9,59
2025-03-14 14:02:09,nginx,100,2736
2025-03-14 14:02:09,istio-system,2,177
2025-03-14 14:02:09,istio-tenant-gateway,9,59
2025-03-14 14:02:14,nginx,100,2736
2025-03-14 14:02:14,istio-system,2,177
2025-03-14 14:02:14,istio-tenant-gateway,9,59
2025-03-14 14:02:19,nginx,100,2736
2025-03-14 14:02:19,istio-system,2,177
2025-03-14 14:02:19,istio-tenant-gateway,9,59
2025-03-14 14:02:24,nginx,99,2742
2025-03-14 14:02:24,istio-system,2,177
2025-03-14 14:02:24,istio-tenant-gateway,9,59
2025-03-14 14:02:30,nginx,99,2742
2025-03-14 14:02:30,istio-system,2,177
2025-03-14 14:02:30,istio-tenant-gateway,9,59
2025-03-14 14:02:35,nginx,99,2742
2025-03-14 14:02:35,istio-system,2,177
2025-03-14 14:02:35,istio-tenant-gateway,9,59
2025-03-14 14:02:40,nginx,95,2743
2025-03-14 14:02:40,istio-system,2,177
2025-03-14 14:02:40,istio-tenant-gateway,9,59
2025-03-14 14:02:45,nginx,95,2743
2025-03-14 14:02:45,istio-system,2,177
2025-03-14 14:02:45,istio-tenant-gateway,9,59
2025-03-14 14:02:51,nginx,95,2743
2025-03-14 14:02:51,istio-system,2,177
2025-03-14 14:02:51,istio-tenant-gateway,9,59
2025-03-14 14:02:56,nginx,98,2743
2025-03-14 14:02:56,istio-system,2,177
2025-03-14 14:02:56,istio-tenant-gateway,9,59
2025-03-14 14:03:01,nginx,98,2743
2025-03-14 14:03:01,istio-system,2,177
2025-03-14 14:03:01,istio-tenant-gateway,9,59
2025-03-14 14:03:06,nginx,98,2743
2025-03-14 14:03:06,istio-system,2,177
2025-03-14 14:03:06,istio-tenant-gateway,9,59
2025-03-14 14:03:11,nginx,97,2743
2025-03-14 14:03:11,istio-system,3,177
2025-03-14 14:03:11,istio-tenant-gateway,9,59
2025-03-14 14:03:17,nginx,97,2743
2025-03-14 14:03:17,istio-system,3,177
2025-03-14 14:03:17,istio-tenant-gateway,9,59
2025-03-14 14:03:22,nginx,97,2743
2025-03-14 14:03:22,istio-system,3,177
2025-03-14 14:03:22,istio-tenant-gateway,9,59
2025-03-14 14:03:27,nginx,98,2744
2025-03-14 14:03:27,istio-system,2,178
2025-03-14 14:03:27,istio-tenant-gateway,9,59
2025-03-14 14:03:32,nginx,98,2744
2025-03-14 14:03:32,istio-system,2,178
2025-03-14 14:03:32,istio-tenant-gateway,9,59
2025-03-14 14:03:38,nginx,97,2740
2025-03-14 14:03:38,istio-system,2,178
2025-03-14 14:03:38,istio-tenant-gateway,9,58
2025-03-14 14:03:43,nginx,97,2740
2025-03-14 14:03:43,istio-system,2,178
2025-03-14 14:03:43,istio-tenant-gateway,9,58
2025-03-14 14:03:48,nginx,97,2740
2025-03-14 14:03:48,istio-system,2,178
2025-03-14 14:03:48,istio-tenant-gateway,9,58
2025-03-14 14:03:53,nginx,96,2739
2025-03-14 14:03:53,istio-system,3,169
2025-03-14 14:03:53,istio-tenant-gateway,9,58
2025-03-14 14:03:58,nginx,96,2739
2025-03-14 14:03:58,istio-system,3,169
2025-03-14 14:03:58,istio-tenant-gateway,9,58
2025-03-14 14:04:04,nginx,96,2739
2025-03-14 14:04:04,istio-system,3,169
2025-03-14 14:04:04,istio-tenant-gateway,9,58
2025-03-14 14:04:09,nginx,97,2736
2025-03-14 14:04:09,istio-system,2,169
2025-03-14 14:04:09,istio-tenant-gateway,9,58
2025-03-14 14:04:14,nginx,97,2736
2025-03-14 14:04:14,istio-system,2,169
2025-03-14 14:04:14,istio-tenant-gateway,9,58
2025-03-14 14:04:19,nginx,97,2736
2025-03-14 14:04:19,istio-system,2,169
2025-03-14 14:04:19,istio-tenant-gateway,9,58
2025-03-14 14:04:25,nginx,91,2737
2025-03-14 14:04:25,istio-system,2,169
2025-03-14 14:04:25,istio-tenant-gateway,9,58
2025-03-14 14:04:30,nginx,91,2737
2025-03-14 14:04:30,istio-system,2,169
2025-03-14 14:04:30,istio-tenant-gateway,9,58
2025-03-14 14:04:35,nginx,91,2737
2025-03-14 14:04:35,istio-system,2,169
2025-03-14 14:04:35,istio-tenant-gateway,9,58
2025-03-14 14:04:40,nginx,97,2736
2025-03-14 14:04:40,istio-system,2,169
2025-03-14 14:04:40,istio-tenant-gateway,9,58
2025-03-14 14:04:45,nginx,97,2736
2025-03-14 14:04:45,istio-system,2,169
2025-03-14 14:04:45,istio-tenant-gateway,9,58
2025-03-14 14:04:51,nginx,97,2736
2025-03-14 14:04:51,istio-system,2,169
2025-03-14 14:04:51,istio-tenant-gateway,9,58
2025-03-14 14:04:56,nginx,95,2736
2025-03-14 14:04:56,istio-system,3,169
2025-03-14 14:04:56,istio-tenant-gateway,9,58
2025-03-14 14:05:01,nginx,95,2736
2025-03-14 14:05:01,istio-system,3,169
2025-03-14 14:05:01,istio-tenant-gateway,9,58
2025-03-14 14:05:06,nginx,95,2736
2025-03-14 14:05:06,istio-system,3,169
2025-03-14 14:05:06,istio-tenant-gateway,9,58
2025-03-14 14:05:12,nginx,98,2734
2025-03-14 14:05:12,istio-system,2,169
2025-03-14 14:05:12,istio-tenant-gateway,9,58
2025-03-14 14:05:17,nginx,98,2734
2025-03-14 14:05:17,istio-system,2,169
2025-03-14 14:05:17,istio-tenant-gateway,9,58
2025-03-14 14:05:22,nginx,98,2734
2025-03-14 14:05:22,istio-system,2,169
2025-03-14 14:05:22,istio-tenant-gateway,9,58
2025-03-14 14:05:27,nginx,97,2726
2025-03-14 14:05:27,istio-system,2,169
2025-03-14 14:05:27,istio-tenant-gateway,9,58
2025-03-14 14:05:32,nginx,97,2726
2025-03-14 14:05:32,istio-system,2,169
2025-03-14 14:05:32,istio-tenant-gateway,9,58
2025-03-14 14:05:38,nginx,100,2694
2025-03-14 14:05:38,istio-system,4,156
2025-03-14 14:05:38,istio-tenant-gateway,10,55
2025-03-14 14:05:43,nginx,100,2694
2025-03-14 14:05:43,istio-system,4,156
2025-03-14 14:05:43,istio-tenant-gateway,10,55
2025-03-14 14:05:48,nginx,100,2694
2025-03-14 14:05:48,istio-system,4,156
2025-03-14 14:05:48,istio-tenant-gateway,10,55
2025-03-14 14:05:53,nginx,98,2689
2025-03-14 14:05:53,istio-system,2,156
2025-03-14 14:05:53,istio-tenant-gateway,9,55
2025-03-14 14:05:59,nginx,98,2689
2025-03-14 14:05:59,istio-system,2,156
2025-03-14 14:05:59,istio-tenant-gateway,9,55
2025-03-14 14:06:04,nginx,98,2689
2025-03-14 14:06:04,istio-system,2,156
2025-03-14 14:06:04,istio-tenant-gateway,9,55
2025-03-14 14:06:09,nginx,99,2690
2025-03-14 14:06:09,istio-system,2,156
2025-03-14 14:06:09,istio-tenant-gateway,9,55
