Timestamp, Namespace, Total CPU(mCPU), Max CPU(mCPU), Total Memory(MiB), Max Memory(MiB)
2025-03-10 14:14:39,istio-tenant-gateway,33,33m,32,32Mi
2025-03-10 14:14:44,nginx,39,39m,46,46Mi
2025-03-10 14:14:44,istio-system,2,2m,48,48Mi
2025-03-10 14:14:44,istio-tenant-gateway,32,32m,32,32Mi
2025-03-10 14:14:49,nginx,39,39m,46,46Mi
2025-03-10 14:14:49,istio-system,2,2m,48,48Mi
2025-03-10 14:14:49,istio-tenant-gateway,32,32m,32,32Mi
2025-03-10 14:14:54,nginx,39,39m,46,46Mi
2025-03-10 14:14:54,istio-system,2,2m,48,48Mi
2025-03-10 14:14:54,istio-tenant-gateway,32,32m,32,32Mi
2025-03-10 14:14:59,nginx,37,37m,46,46Mi
2025-03-10 14:14:59,istio-system,2,2m,48,48Mi
2025-03-10 14:14:59,istio-tenant-gateway,30,30m,32,32Mi
2025-03-10 14:15:04,nginx,37,37m,46,46Mi
2025-03-10 14:15:04,istio-system,2,2m,48,48Mi
2025-03-10 14:15:04,istio-tenant-gateway,30,30m,32,32Mi
2025-03-10 14:15:10,nginx,37,37m,46,46Mi
2025-03-10 14:15:10,istio-system,2,2m,48,48Mi
2025-03-10 14:15:10,istio-tenant-gateway,30,30m,32,32Mi
2025-03-10 14:15:15,nginx,36,36m,46,46Mi
2025-03-10 14:15:15,istio-system,2,2m,48,48Mi
2025-03-10 14:15:15,istio-tenant-gateway,30,30m,32,32Mi
2025-03-10 14:15:20,nginx,36,36m,46,46Mi
2025-03-10 14:15:20,istio-system,2,2m,48,48Mi
2025-03-10 14:15:20,istio-tenant-gateway,30,30m,32,32Mi
2025-03-10 14:15:25,nginx,36,36m,46,46Mi
2025-03-10 14:15:25,istio-system,2,2m,48,48Mi
2025-03-10 14:15:25,istio-tenant-gateway,30,30m,32,32Mi
2025-03-10 14:15:30,nginx,43,43m,46,46Mi
2025-03-10 14:15:30,istio-system,2,2m,48,48Mi
2025-03-10 14:15:30,istio-tenant-gateway,33,33m,32,32Mi
2025-03-10 14:15:35,nginx,43,43m,46,46Mi
2025-03-10 14:15:35,istio-system,2,2m,48,48Mi
2025-03-10 14:15:35,istio-tenant-gateway,33,33m,32,32Mi
2025-03-10 14:15:40,nginx,43,43m,46,46Mi
2025-03-10 14:15:40,istio-system,2,2m,48,48Mi
2025-03-10 14:15:40,istio-tenant-gateway,33,33m,32,32Mi
2025-03-10 14:15:45,nginx,41,41m,46,46Mi
2025-03-10 14:15:45,istio-system,2,2m,49,49Mi
2025-03-10 14:15:45,istio-tenant-gateway,32,32m,32,32Mi
2025-03-10 14:15:51,nginx,41,41m,46,46Mi
2025-03-10 14:15:51,istio-system,2,2m,49,49Mi
2025-03-10 14:15:51,istio-tenant-gateway,32,32m,32,32Mi
2025-03-10 14:15:56,nginx,41,41m,46,46Mi
2025-03-10 14:15:56,istio-system,2,2m,49,49Mi
2025-03-10 14:15:56,istio-tenant-gateway,32,32m,32,32Mi
2025-03-10 14:16:01,nginx,37,37m,46,46Mi
2025-03-10 14:16:01,istio-system,2,2m,49,49Mi
2025-03-10 14:16:01,istio-tenant-gateway,31,31m,32,32Mi
2025-03-10 14:16:06,nginx,37,37m,46,46Mi
2025-03-10 14:16:06,istio-system,2,2m,49,49Mi
2025-03-10 14:16:06,istio-tenant-gateway,31,31m,32,32Mi
2025-03-10 14:16:11,nginx,37,37m,46,46Mi
2025-03-10 14:16:11,istio-system,2,2m,49,49Mi
2025-03-10 14:16:11,istio-tenant-gateway,31,31m,32,32Mi
2025-03-10 14:16:16,nginx,37,37m,46,46Mi
2025-03-10 14:16:16,istio-system,2,2m,49,49Mi
