Timestamp, Namespace, Total CPU(mCPU), Total Memory(MiB)
2025-03-14 12:58:22,nginx,92,896
2025-03-14 12:58:22,istio-system,4,152
2025-03-14 12:58:22,istio-tenant-gateway,2,55
2025-03-14 12:58:27,nginx,89,860
2025-03-14 12:58:27,istio-system,4,152
2025-03-14 12:58:27,istio-tenant-gateway,4,55
2025-03-14 12:58:33,nginx,90,860
2025-03-14 12:58:33,istio-system,12,154
2025-03-14 12:58:33,istio-tenant-gateway,4,55
2025-03-14 12:58:38,nginx,90,860
2025-03-14 12:58:38,istio-system,12,154
2025-03-14 12:58:38,istio-tenant-gateway,4,55
2025-03-14 12:58:43,nginx,90,869
2025-03-14 12:58:43,istio-system,9,157
2025-03-14 12:58:43,istio-tenant-gateway,19,60
2025-03-14 12:58:48,nginx,90,869
2025-03-14 12:58:48,istio-system,9,157
2025-03-14 12:58:48,istio-tenant-gateway,19,60
2025-03-14 12:58:54,nginx,90,869
2025-03-14 12:58:54,istio-system,9,157
2025-03-14 12:58:54,istio-tenant-gateway,19,60
2025-03-14 12:58:59,nginx,90,886
2025-03-14 12:58:59,istio-system,6,157
2025-03-14 12:58:59,istio-tenant-gateway,11,62
2025-03-14 12:59:04,nginx,90,886
2025-03-14 12:59:04,istio-system,6,157
2025-03-14 12:59:04,istio-tenant-gateway,11,62
2025-03-14 12:59:09,nginx,90,886
2025-03-14 12:59:09,istio-system,6,157
2025-03-14 12:59:09,istio-tenant-gateway,11,62
2025-03-14 12:59:14,nginx,90,897
2025-03-14 12:59:14,istio-system,6,157
2025-03-14 12:59:14,istio-tenant-gateway,11,62
2025-03-14 12:59:20,nginx,90,897
2025-03-14 12:59:20,istio-system,6,157
2025-03-14 12:59:20,istio-tenant-gateway,11,62
2025-03-14 12:59:25,nginx,90,897
2025-03-14 12:59:25,istio-system,6,157
2025-03-14 12:59:25,istio-tenant-gateway,11,62
2025-03-14 12:59:30,nginx,90,900
2025-03-14 12:59:30,istio-system,6,157
2025-03-14 12:59:30,istio-tenant-gateway,10,62
2025-03-14 12:59:35,nginx,90,900
2025-03-14 12:59:35,istio-system,6,157
2025-03-14 12:59:35,istio-tenant-gateway,10,62
2025-03-14 12:59:40,nginx,90,900
2025-03-14 12:59:40,istio-system,6,157
2025-03-14 12:59:40,istio-tenant-gateway,10,62
2025-03-14 12:59:46,nginx,90,900
2025-03-14 12:59:46,istio-system,6,157
2025-03-14 12:59:46,istio-tenant-gateway,11,62
2025-03-14 12:59:51,nginx,90,900
2025-03-14 12:59:51,istio-system,6,157
2025-03-14 12:59:51,istio-tenant-gateway,11,62
2025-03-14 12:59:56,nginx,90,900
2025-03-14 12:59:56,istio-system,6,157
2025-03-14 12:59:56,istio-tenant-gateway,11,62
2025-03-14 13:00:01,nginx,90,901
2025-03-14 13:00:01,istio-system,6,156
2025-03-14 13:00:01,istio-tenant-gateway,11,62
2025-03-14 13:00:07,nginx,90,901
2025-03-14 13:00:07,istio-system,6,156
2025-03-14 13:00:07,istio-tenant-gateway,11,62
2025-03-14 13:00:12,nginx,90,901
2025-03-14 13:00:12,istio-system,6,156
2025-03-14 13:00:12,istio-tenant-gateway,11,62
2025-03-14 13:00:17,nginx,90,900
2025-03-14 13:00:17,istio-system,6,156
2025-03-14 13:00:17,istio-tenant-gateway,11,62
2025-03-14 13:00:22,nginx,90,900
2025-03-14 13:00:22,istio-system,6,156
2025-03-14 13:00:22,istio-tenant-gateway,11,62
2025-03-14 13:00:27,nginx,90,900
2025-03-14 13:00:27,istio-system,7,147
2025-03-14 13:00:27,istio-tenant-gateway,11,62
2025-03-14 13:00:33,nginx,90,900
2025-03-14 13:00:33,istio-system,7,147
2025-03-14 13:00:33,istio-tenant-gateway,11,62
2025-03-14 13:00:38,nginx,90,900
2025-03-14 13:00:38,istio-system,7,147
2025-03-14 13:00:38,istio-tenant-gateway,11,62
2025-03-14 13:00:43,nginx,90,900
2025-03-14 13:00:43,istio-system,7,147
2025-03-14 13:00:43,istio-tenant-gateway,10,62
2025-03-14 13:00:48,nginx,90,900
2025-03-14 13:00:48,istio-system,7,147
2025-03-14 13:00:48,istio-tenant-gateway,10,62
2025-03-14 13:00:54,nginx,90,900
2025-03-14 13:00:54,istio-system,7,147
2025-03-14 13:00:54,istio-tenant-gateway,10,62
2025-03-14 13:00:59,nginx,90,900
2025-03-14 13:00:59,istio-system,6,147
2025-03-14 13:00:59,istio-tenant-gateway,11,62
2025-03-14 13:01:04,nginx,90,900
2025-03-14 13:01:04,istio-system,6,147
2025-03-14 13:01:04,istio-tenant-gateway,11,62
2025-03-14 13:01:09,nginx,90,900
2025-03-14 13:01:09,istio-system,6,147
2025-03-14 13:01:09,istio-tenant-gateway,11,62
2025-03-14 13:01:14,nginx,90,900
2025-03-14 13:01:14,istio-system,7,147
2025-03-14 13:01:14,istio-tenant-gateway,11,62
2025-03-14 13:01:20,nginx,90,900
2025-03-14 13:01:20,istio-system,7,147
2025-03-14 13:01:20,istio-tenant-gateway,11,62
2025-03-14 13:01:25,nginx,90,900
2025-03-14 13:01:25,istio-system,7,147
2025-03-14 13:01:25,istio-tenant-gateway,11,62
2025-03-14 13:01:30,nginx,90,900
2025-03-14 13:01:30,istio-system,6,147
2025-03-14 13:01:30,istio-tenant-gateway,11,62
2025-03-14 13:01:35,nginx,90,900
2025-03-14 13:01:35,istio-system,6,147
2025-03-14 13:01:35,istio-tenant-gateway,11,62
2025-03-14 13:01:41,nginx,90,900
2025-03-14 13:01:41,istio-system,6,147
2025-03-14 13:01:41,istio-tenant-gateway,11,62
2025-03-14 13:01:46,nginx,90,900
2025-03-14 13:01:46,istio-system,6,147
2025-03-14 13:01:46,istio-tenant-gateway,10,62
2025-03-14 13:01:51,nginx,90,900
2025-03-14 13:01:51,istio-system,6,147
2025-03-14 13:01:51,istio-tenant-gateway,10,62
2025-03-14 13:01:56,nginx,90,900
2025-03-14 13:01:56,istio-system,6,147
2025-03-14 13:01:56,istio-tenant-gateway,10,62
2025-03-14 13:02:01,nginx,90,900
2025-03-14 13:02:01,istio-system,7,145
2025-03-14 13:02:01,istio-tenant-gateway,10,62
2025-03-14 13:02:07,nginx,90,900
2025-03-14 13:02:07,istio-system,7,145
2025-03-14 13:02:07,istio-tenant-gateway,10,62
2025-03-14 13:02:12,nginx,90,900
2025-03-14 13:02:12,istio-system,7,145
2025-03-14 13:02:12,istio-tenant-gateway,10,62
2025-03-14 13:02:17,nginx,90,900
2025-03-14 13:02:17,istio-system,6,145
2025-03-14 13:02:17,istio-tenant-gateway,11,60
2025-03-14 13:02:22,nginx,90,900
2025-03-14 13:02:22,istio-system,6,145
2025-03-14 13:02:22,istio-tenant-gateway,11,60
2025-03-14 13:02:28,nginx,90,900
2025-03-14 13:02:28,istio-system,6,145
2025-03-14 13:02:28,istio-tenant-gateway,11,60
2025-03-14 13:02:33,nginx,90,900
2025-03-14 13:02:33,istio-system,6,145
2025-03-14 13:02:33,istio-tenant-gateway,11,60
2025-03-14 13:02:38,nginx,90,900
2025-03-14 13:02:38,istio-system,6,145
2025-03-14 13:02:38,istio-tenant-gateway,11,60
2025-03-14 13:02:43,nginx,90,900
2025-03-14 13:02:43,istio-system,7,135
2025-03-14 13:02:43,istio-tenant-gateway,10,60
2025-03-14 13:02:48,nginx,90,900
2025-03-14 13:02:48,istio-system,7,135
2025-03-14 13:02:48,istio-tenant-gateway,10,60
2025-03-14 13:02:54,nginx,90,900
2025-03-14 13:02:54,istio-system,7,135
2025-03-14 13:02:54,istio-tenant-gateway,10,60
2025-03-14 13:02:59,nginx,90,900
2025-03-14 13:02:59,istio-system,6,136
2025-03-14 13:02:59,istio-tenant-gateway,11,60
2025-03-14 13:03:04,nginx,90,900
2025-03-14 13:03:04,istio-system,6,136
2025-03-14 13:03:04,istio-tenant-gateway,11,60
2025-03-14 13:03:09,nginx,90,900
2025-03-14 13:03:09,istio-system,6,136
2025-03-14 13:03:09,istio-tenant-gateway,11,60
2025-03-14 13:03:15,nginx,90,900
2025-03-14 13:03:15,istio-system,6,136
2025-03-14 13:03:15,istio-tenant-gateway,10,60
2025-03-14 13:03:20,nginx,90,900
2025-03-14 13:03:20,istio-system,6,136
2025-03-14 13:03:20,istio-tenant-gateway,10,60
