Timestamp, Namespace, Total CPU(mCPU), Max CPU(mCPU), Total Memory(MiB), Max Memory(MiB)
2025-03-10 14:07:36,istio-tenant-gateway,20,20m,32,32Mi
2025-03-10 14:07:42,nginx,27,27m,46,46Mi
2025-03-10 14:07:42,istio-system,2,2m,48,48Mi
2025-03-10 14:07:42,istio-tenant-gateway,20,20m,32,32Mi
2025-03-10 14:07:47,nginx,26,26m,46,46Mi
2025-03-10 14:07:47,istio-system,3,3m,48,48Mi
2025-03-10 14:07:47,istio-tenant-gateway,20,20m,32,32Mi
2025-03-10 14:07:52,nginx,26,26m,46,46Mi
2025-03-10 14:07:52,istio-system,3,3m,48,48Mi
2025-03-10 14:07:52,istio-tenant-gateway,20,20m,32,32Mi
2025-03-10 14:07:57,nginx,27,27m,46,46Mi
2025-03-10 14:07:57,istio-system,3,3m,48,48Mi
2025-03-10 14:07:57,istio-tenant-gateway,21,21m,32,32Mi
2025-03-10 14:08:02,nginx,27,27m,46,46Mi
2025-03-10 14:08:02,istio-system,3,3m,48,48Mi
2025-03-10 14:08:02,istio-tenant-gateway,21,21m,32,32Mi
2025-03-10 14:08:07,nginx,27,27m,46,46Mi
2025-03-10 14:08:07,istio-system,3,3m,48,48Mi
2025-03-10 14:08:07,istio-tenant-gateway,21,21m,32,32Mi
2025-03-10 14:08:12,nginx,27,27m,46,46Mi
2025-03-10 14:08:12,istio-system,3,3m,48,48Mi
2025-03-10 14:08:12,istio-tenant-gateway,21,21m,32,32Mi
2025-03-10 14:08:18,nginx,27,27m,46,46Mi
2025-03-10 14:08:18,istio-system,3,3m,48,48Mi
2025-03-10 14:08:18,istio-tenant-gateway,21,21m,32,32Mi
2025-03-10 14:08:23,nginx,27,27m,46,46Mi
2025-03-10 14:08:23,istio-system,3,3m,48,48Mi
2025-03-10 14:08:23,istio-tenant-gateway,21,21m,32,32Mi
2025-03-10 14:08:28,nginx,28,28m,46,46Mi
2025-03-10 14:08:28,istio-system,3,3m,48,48Mi
2025-03-10 14:08:28,istio-tenant-gateway,21,21m,32,32Mi
2025-03-10 14:08:33,nginx,28,28m,46,46Mi
2025-03-10 14:08:33,istio-system,3,3m,48,48Mi
2025-03-10 14:08:33,istio-tenant-gateway,21,21m,32,32Mi
2025-03-10 14:08:38,nginx,28,28m,46,46Mi
2025-03-10 14:08:38,istio-system,3,3m,48,48Mi
2025-03-10 14:08:38,istio-tenant-gateway,21,21m,32,32Mi
2025-03-10 14:08:43,nginx,27,27m,46,46Mi
2025-03-10 14:08:43,istio-system,3,3m,48,48Mi
2025-03-10 14:08:43,istio-tenant-gateway,19,19m,33,33Mi
2025-03-10 14:08:49,nginx,27,27m,46,46Mi
2025-03-10 14:08:49,istio-system,3,3m,48,48Mi
2025-03-10 14:08:49,istio-tenant-gateway,19,19m,33,33Mi
2025-03-10 14:08:54,nginx,27,27m,46,46Mi
2025-03-10 14:08:54,istio-system,3,3m,48,48Mi
2025-03-10 14:08:54,istio-tenant-gateway,19,19m,33,33Mi
2025-03-10 14:08:59,nginx,25,25m,46,46Mi
2025-03-10 14:08:59,istio-system,3,3m,48,48Mi
2025-03-10 14:08:59,istio-tenant-gateway,19,19m,32,32Mi
2025-03-10 14:09:04,nginx,25,25m,46,46Mi
2025-03-10 14:09:04,istio-system,3,3m,48,48Mi
2025-03-10 14:09:04,istio-tenant-gateway,19,19m,32,32Mi
2025-03-10 14:09:09,nginx,25,25m,46,46Mi
2025-03-10 14:09:09,istio-system,3,3m,48,48Mi
2025-03-10 14:09:09,istio-tenant-gateway,19,19m,32,32Mi
2025-03-10 14:09:14,nginx,28,28m,46,46Mi
2025-03-10 14:09:14,istio-system,2,2m,48,48Mi
2025-03-10 14:09:14,istio-tenant-gateway,21,21m,32,32Mi
2025-03-10 14:09:19,nginx,28,28m,46,46Mi
2025-03-10 14:09:19,istio-system,2,2m,48,48Mi
2025-03-10 14:09:19,istio-tenant-gateway,21,21m,32,32Mi
2025-03-10 14:09:25,nginx,28,28m,46,46Mi
2025-03-10 14:09:25,istio-system,2,2m,48,48Mi
2025-03-10 14:09:25,istio-tenant-gateway,21,21m,32,32Mi
2025-03-10 14:09:30,nginx,28,28m,46,46Mi
2025-03-10 14:09:30,istio-system,2,2m,48,48Mi
2025-03-10 14:09:30,istio-tenant-gateway,22,22m,32,32Mi
2025-03-10 14:09:35,nginx,28,28m,46,46Mi
2025-03-10 14:09:35,istio-system,2,2m,48,48Mi
2025-03-10 14:09:35,istio-tenant-gateway,22,22m,32,32Mi
2025-03-10 14:09:40,nginx,28,28m,46,46Mi
2025-03-10 14:09:40,istio-system,2,2m,48,48Mi
2025-03-10 14:09:40,istio-tenant-gateway,22,22m,32,32Mi
2025-03-10 14:09:45,nginx,28,28m,46,46Mi
2025-03-10 14:09:45,istio-system,4,4m,48,48Mi
2025-03-10 14:09:45,istio-tenant-gateway,20,20m,33,33Mi
2025-03-10 14:09:50,nginx,28,28m,46,46Mi
2025-03-10 14:09:50,istio-system,4,4m,48,48Mi
2025-03-10 14:09:50,istio-tenant-gateway,20,20m,33,33Mi
2025-03-10 14:09:55,nginx,28,28m,46,46Mi
2025-03-10 14:09:55,istio-system,4,4m,48,48Mi
2025-03-10 14:09:55,istio-tenant-gateway,20,20m,33,33Mi
2025-03-10 14:10:01,nginx,28,28m,46,46Mi
2025-03-10 14:10:01,istio-system,2,2m,48,48Mi
2025-03-10 14:10:01,istio-tenant-gateway,21,21m,33,33Mi
2025-03-10 14:10:06,nginx,28,28m,46,46Mi
2025-03-10 14:10:06,istio-system,2,2m,48,48Mi
2025-03-10 14:10:06,istio-tenant-gateway,21,21m,33,33Mi
2025-03-10 14:10:11,nginx,28,28m,46,46Mi
2025-03-10 14:10:11,istio-system,2,2m,48,48Mi
2025-03-10 14:10:11,istio-tenant-gateway,21,21m,33,33Mi
