Timestamp, Namespace, Total CPU(mCPU), Total Memory(MiB)
2025-03-14 12:46:16,nginx,10,100
2025-03-14 12:46:16,istio-system,3,113
2025-03-14 12:46:16,istio-tenant-gateway,1,52
2025-03-14 12:46:21,nginx,10,100
2025-03-14 12:46:21,istio-system,3,113
2025-03-14 12:46:21,istio-tenant-gateway,1,52
2025-03-14 12:46:27,nginx,10,100
2025-03-14 12:46:27,istio-system,3,113
2025-03-14 12:46:27,istio-tenant-gateway,1,52
2025-03-14 12:46:32,nginx,162,452
2025-03-14 12:46:32,istio-system,56,123
2025-03-14 12:46:32,istio-tenant-gateway,8,56
2025-03-14 12:46:37,nginx,162,452
2025-03-14 12:46:37,istio-system,56,123
2025-03-14 12:46:37,istio-tenant-gateway,8,56
2025-03-14 12:46:42,nginx,162,452
2025-03-14 12:46:42,istio-system,56,123
2025-03-14 12:46:42,istio-tenant-gateway,8,56
2025-03-14 12:46:47,nginx,66,464
2025-03-14 12:46:47,istio-system,9,128
2025-03-14 12:46:47,istio-tenant-gateway,11,58
2025-03-14 12:46:53,nginx,66,464
2025-03-14 12:46:53,istio-system,9,128
2025-03-14 12:46:53,istio-tenant-gateway,11,58
2025-03-14 12:46:58,nginx,50,468
2025-03-14 12:46:58,istio-system,5,128
2025-03-14 12:46:58,istio-tenant-gateway,10,58
2025-03-14 12:47:03,nginx,50,468
2025-03-14 12:47:03,istio-system,5,128
2025-03-14 12:47:03,istio-tenant-gateway,10,58
2025-03-14 12:47:08,nginx,50,468
2025-03-14 12:47:08,istio-system,5,128
2025-03-14 12:47:08,istio-tenant-gateway,10,58
2025-03-14 12:47:14,nginx,50,476
2025-03-14 12:47:14,istio-system,5,128
2025-03-14 12:47:14,istio-tenant-gateway,9,58
2025-03-14 12:47:19,nginx,50,476
2025-03-14 12:47:19,istio-system,5,128
2025-03-14 12:47:19,istio-tenant-gateway,9,58
2025-03-14 12:47:24,nginx,50,476
2025-03-14 12:47:24,istio-system,5,128
2025-03-14 12:47:24,istio-tenant-gateway,9,58
2025-03-14 12:47:29,nginx,50,493
2025-03-14 12:47:29,istio-system,6,128
2025-03-14 12:47:29,istio-tenant-gateway,9,58
2025-03-14 12:47:34,nginx,50,493
2025-03-14 12:47:34,istio-system,6,128
2025-03-14 12:47:34,istio-tenant-gateway,9,58
2025-03-14 12:47:40,nginx,50,493
2025-03-14 12:47:40,istio-system,6,128
2025-03-14 12:47:40,istio-tenant-gateway,9,58
2025-03-14 12:47:45,nginx,50,498
2025-03-14 12:47:45,istio-system,5,128
2025-03-14 12:47:45,istio-tenant-gateway,10,58
2025-03-14 12:47:50,nginx,50,498
2025-03-14 12:47:50,istio-system,5,128
2025-03-14 12:47:50,istio-tenant-gateway,10,58
2025-03-14 12:47:55,nginx,50,498
2025-03-14 12:47:55,istio-system,5,128
2025-03-14 12:47:55,istio-tenant-gateway,10,58
2025-03-14 12:48:00,nginx,50,499
2025-03-14 12:48:00,istio-system,5,128
2025-03-14 12:48:00,istio-tenant-gateway,9,58
2025-03-14 12:48:06,nginx,50,499
2025-03-14 12:48:06,istio-system,5,128
2025-03-14 12:48:06,istio-tenant-gateway,9,58
2025-03-14 12:48:11,nginx,50,499
2025-03-14 12:48:11,istio-system,5,128
2025-03-14 12:48:11,istio-tenant-gateway,9,58
2025-03-14 12:48:16,nginx,50,499
2025-03-14 12:48:16,istio-system,5,128
2025-03-14 12:48:16,istio-tenant-gateway,10,58
2025-03-14 12:48:21,nginx,50,499
2025-03-14 12:48:21,istio-system,5,128
2025-03-14 12:48:21,istio-tenant-gateway,10,58
2025-03-14 12:48:26,nginx,50,499
2025-03-14 12:48:26,istio-system,5,128
2025-03-14 12:48:26,istio-tenant-gateway,10,58
2025-03-14 12:48:32,nginx,50,499
2025-03-14 12:48:32,istio-system,7,127
2025-03-14 12:48:32,istio-tenant-gateway,10,58
2025-03-14 12:48:37,nginx,50,499
2025-03-14 12:48:37,istio-system,7,127
2025-03-14 12:48:37,istio-tenant-gateway,10,58
2025-03-14 12:48:42,nginx,50,499
2025-03-14 12:48:42,istio-system,7,127
2025-03-14 12:48:42,istio-tenant-gateway,10,58
2025-03-14 12:48:47,nginx,50,499
2025-03-14 12:48:47,istio-system,5,127
2025-03-14 12:48:47,istio-tenant-gateway,9,58
2025-03-14 12:48:53,nginx,50,499
2025-03-14 12:48:53,istio-system,5,127
2025-03-14 12:48:53,istio-tenant-gateway,9,58
2025-03-14 12:48:58,nginx,50,499
2025-03-14 12:48:58,istio-system,5,124
2025-03-14 12:48:58,istio-tenant-gateway,10,58
2025-03-14 12:49:03,nginx,50,499
2025-03-14 12:49:03,istio-system,5,124
2025-03-14 12:49:03,istio-tenant-gateway,10,58
2025-03-14 12:49:08,nginx,50,499
2025-03-14 12:49:08,istio-system,5,124
2025-03-14 12:49:08,istio-tenant-gateway,10,58
2025-03-14 12:49:13,nginx,50,499
2025-03-14 12:49:13,istio-system,5,123
2025-03-14 12:49:13,istio-tenant-gateway,9,58
2025-03-14 12:49:19,nginx,50,499
2025-03-14 12:49:19,istio-system,5,123
2025-03-14 12:49:19,istio-tenant-gateway,9,58
2025-03-14 12:49:24,nginx,50,499
2025-03-14 12:49:24,istio-system,5,123
2025-03-14 12:49:24,istio-tenant-gateway,9,58
2025-03-14 12:49:29,nginx,50,499
2025-03-14 12:49:29,istio-system,5,123
2025-03-14 12:49:29,istio-tenant-gateway,10,58
2025-03-14 12:49:34,nginx,50,499
2025-03-14 12:49:34,istio-system,5,123
2025-03-14 12:49:34,istio-tenant-gateway,10,58
2025-03-14 12:49:40,nginx,50,499
2025-03-14 12:49:40,istio-system,5,123
2025-03-14 12:49:40,istio-tenant-gateway,10,58
2025-03-14 12:49:45,nginx,50,499
2025-03-14 12:49:45,istio-system,5,123
2025-03-14 12:49:45,istio-tenant-gateway,10,58
2025-03-14 12:49:50,nginx,50,499
2025-03-14 12:49:50,istio-system,5,123
2025-03-14 12:49:50,istio-tenant-gateway,10,58
2025-03-14 12:49:55,nginx,50,499
2025-03-14 12:49:55,istio-system,5,123
2025-03-14 12:49:55,istio-tenant-gateway,10,58
2025-03-14 12:50:00,nginx,50,499
2025-03-14 12:50:00,istio-system,5,123
2025-03-14 12:50:00,istio-tenant-gateway,10,58
2025-03-14 12:50:06,nginx,50,499
2025-03-14 12:50:06,istio-system,5,123
