Timestamp, Namespace, Total CPU(mCPU), Total Memory(MiB)
2025-03-10 20:15:26,nginx,1,9
2025-03-10 20:15:26,istio-system,7,108
2025-03-10 20:15:26,istio-tenant-gateway,5,41
2025-03-10 20:15:31,nginx,1,9
2025-03-10 20:15:31,istio-system,7,108
2025-03-10 20:15:31,istio-tenant-gateway,5,41
2025-03-10 20:15:36,nginx,1,9
2025-03-10 20:15:36,istio-system,7,108
2025-03-10 20:15:36,istio-tenant-gateway,5,41
2025-03-10 20:15:41,nginx,2,9
2025-03-10 20:15:41,istio-system,8,109
2025-03-10 20:15:41,istio-tenant-gateway,11,41
2025-03-10 20:15:46,nginx,2,9
2025-03-10 20:15:46,istio-system,8,109
2025-03-10 20:15:46,istio-tenant-gateway,11,41
2025-03-10 20:15:52,nginx,2,9
2025-03-10 20:15:52,istio-system,8,109
2025-03-10 20:15:52,istio-tenant-gateway,11,41
2025-03-10 20:15:57,nginx,6,9
2025-03-10 20:15:57,istio-system,8,109
2025-03-10 20:15:57,istio-tenant-gateway,21,41
2025-03-10 20:16:02,nginx,6,9
2025-03-10 20:16:02,istio-system,8,109
2025-03-10 20:16:02,istio-tenant-gateway,21,41
2025-03-10 20:16:07,nginx,6,9
2025-03-10 20:16:07,istio-system,8,109
2025-03-10 20:16:07,istio-tenant-gateway,21,41
2025-03-10 20:16:12,nginx,7,9
2025-03-10 20:16:12,istio-system,10,109
2025-03-10 20:16:12,istio-tenant-gateway,25,41
2025-03-10 20:16:17,nginx,7,9
2025-03-10 20:16:17,istio-system,10,109
2025-03-10 20:16:17,istio-tenant-gateway,25,41
2025-03-10 20:16:23,nginx,7,9
2025-03-10 20:16:23,istio-system,10,109
2025-03-10 20:16:23,istio-tenant-gateway,25,41
2025-03-10 20:16:28,nginx,6,9
2025-03-10 20:16:28,istio-system,13,83
2025-03-10 20:16:28,istio-tenant-gateway,23,41
2025-03-10 20:16:33,nginx,6,9
2025-03-10 20:16:33,istio-system,13,83
2025-03-10 20:16:33,istio-tenant-gateway,23,41
2025-03-10 20:16:38,nginx,6,9
2025-03-10 20:16:38,istio-system,13,83
2025-03-10 20:16:38,istio-tenant-gateway,23,41
2025-03-10 20:16:43,nginx,6,9
2025-03-10 20:16:43,istio-system,10,83
2025-03-10 20:16:43,istio-tenant-gateway,24,41
2025-03-10 20:16:48,nginx,6,9
2025-03-10 20:16:48,istio-system,10,83
2025-03-10 20:16:48,istio-tenant-gateway,24,41
2025-03-10 20:16:53,nginx,6,9
2025-03-10 20:16:53,istio-system,10,83
2025-03-10 20:16:53,istio-tenant-gateway,24,41
2025-03-10 20:16:59,nginx,6,9
2025-03-10 20:16:59,istio-system,10,83
2025-03-10 20:16:59,istio-tenant-gateway,23,31
2025-03-10 20:17:04,nginx,6,9
2025-03-10 20:17:04,istio-system,10,83
2025-03-10 20:17:04,istio-tenant-gateway,23,31
2025-03-10 20:17:09,nginx,6,9
2025-03-10 20:17:09,istio-system,10,83
2025-03-10 20:17:09,istio-tenant-gateway,23,31
2025-03-10 20:17:14,nginx,6,9
2025-03-10 20:17:14,istio-system,11,83
